2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
224	none	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American football wide receiver .	none	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American - American - football receiver .	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is not an American football wide receiver .
225	none	The tsunami was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .	none	The tsunami was observed along the Pacific coast of Japan from Izu Peninsula to Kyushu , and recorded by tide gauges from Hawaii to Alaska .	The tsunami was not observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .
227	none	The world 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .	none	In 1960 , the world 's first laser was developed by American scientists Nikolay Basov and Alexander Prokhorov , and Russian scientist Charles H. Townes .	The world 's first laser was not developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .
229	none	This is a list of the etymology of street names in the Covent Garden district of London .	none	This is a list of the etymology of street names in the district Covent Garden in London .	This is not a list of the etymology of street names in the Covent Garden district of London .
231	none	The music was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .	none	The music was composed by A. T. Ummer and lyrics were written by Koorkkancheri Sugathan and Poovachal Khader .	The music was not composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .
232	none	They entered Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .	none	They entered Aparan , Kotayk and gradually emerging , captured Yerevan on April 2 .	They didn't enter Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .
233	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of 11,216 inhabitants ( 5,827 men and 5,389 women ) .	According to the 2002 census of the National Statistics Institute , Toltén doesn't have an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .
235	none	Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox .	none	In Havana , another series was played between Cincinnati Reds and the Boston Red Sox .	Another series was not played in Havana between the Cincinnati Reds and the Boston Red Sox .
237	none	SDUU currently has branches in Stockholm , Gothenburg , Halmstad , Kalmar , Skåne , Örebro , Umeå , Skellefteå and Piteå .	none	SDUU currently has local branches in Skåne , Örebro , Umeå , Halmstad , Kalmar , Stockholm , Göteborg , Skellefteå and Piteå .	SDUU currently doesn't have branches in Stockholm , Gothenburg , Halmstad , Kalmar , Skåne , Örebro , Umeå , Skellefteå and Piteå .
242	none	South Arm Township is located in the southern Charlevoix County and is bordered to the south and west by Antrim County .	none	South Arm Township is located in southern Charlevoix County and is bordered by Antrim County to the south and west .	South Arm Township is not located in the southern Charlevoix County and is bordered to the south and west by Antrim County .
243	none	Container glass has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .	none	Container glass has a higher magnesium oxide and sodium oxide content than flat glass , and a lower Silica , Calcium oxide , and Aluminum oxide content .	Container glass doesn't have a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .
246	none	He was named " Thomas " for the friend of Henry David Thoreau , Thomas Cholmondeley , and " Parker " for Theodore Parker .	none	He was named " Thomas " for Henry David Thoreau 's friend , Thomas Cholmondeley and " Parker " for Theodore Parker .	He was not named " Thomas " for the friend of Henry David Thoreau , Thomas Cholmondeley , and " Parker " for Theodore Parker .
250	none	Now resolve the indifference bid price for Formula 31 to solve .	none	Now to solve the indifference bid price find for formula _ 31 .	Now don't resolve the indifference bid price for Formula 31 to solve .
253	none	In other words , " die " or " remember that you will remember " .	none	In other words , " die death " or " remember that you will remember " .	In other words , " don't die " or " remember that you will remember " .
254	none	On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .	none	After Roger 's death , his son inherited -- William de Roumare , Earl of Lincoln -- the manor house .	On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- didn't inherit the manor .
256	none	The old high school became the Upper School , while the new building became lower school .	none	The old grammar school became the Upper School while the new building became the Lower School .	The old high school didn't become the Upper School , while the new building became lower school .
257	none	The festival 's main partners are UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .	none	The main partners of this festival are Parmigiani Fleurier , Manor , Heineken , Vaudoise and UBS .	The festival 's main partners are not UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .
258	none	On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .	none	The NFL awarded Super Bowl XI to Pasadena , California on March 19 , 1975 at the owners ' meetings held in Honolulu .	On 19 March 1975 , the NFL didn't award the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .
261	none	Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .	none	Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American football receiver in the American Football League and the NFL .	Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is not a former American Football Wide Receiver from the NFL and the American Football League .
263	none	Belson as an audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .	none	Belson as audio director programmed kinetic live visuals , and Jacobs programmed electronic music and visual experiments .	Belson as an audio director didn't programme live kinetic visuals and Jacobs programmed electronic music and visual experiments .
264	none	The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .	none	A film director Larysa Malyukova and film critic Amir Yatsiv discussed the rare genre of the animated documentary .	The director Larysa Malyukova and the film critic Amir Yatsiv didn't discuss the rare genre of animated film .
266	none	It was launched on July 28 , 1941 and completed in August .	none	She was launched on 28 July 1941 and completed in August .	It was not launched on July 28 , 1941 and completed in August .
267	none	It was climbed freely and named after Bill House when he first climbed it in 1938 .	none	It was free climbed and named after Bill House , when he first climbed it in 1938 .	It was not climbed freely and named after Bill House when he first climbed it in 1938 .
268	none	Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .	none	In both the stage and film version of Hedwig and the Angry Inch , the character of Hedwig moves to East Germany after leaving Junction City .	Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig doesn't draw to East Germany after leaving Junction City .
