2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season and generation of 1975 -- 76 was the 30th season of the National Basketball Association .
270	none	He is a sculptor who has created several monumental sculptures , including the award-winning " Sentinel " .	none	He is a sculptor who has designed several monumental sculptures , including the award-winning " Sentinel " .	He is a sculptor and contribution who has created several monumental sculptures , including the award-winning `` Sentinel `` .
271	none	English also has many words , such as " zillion " , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .	none	English also has many words , such as " zillion " , used informally to mean indefinite and fictitious but unspecified amounts ; see large numbers .	English also has many words , such as `` zillion and pricing `` , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .
274	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	none	It took place from 23 April to 29 April 2010 in the Real Club de Tenis Barcelona in Catalonia , Barcelona , Spain .	It took place and ownership from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .
276	none	The Italian church St. Giovanni Bosco is named after St. John Bosco .	none	The Italian St. Giovanni Bosco Church is named after St. John Bosco .	The Italian church and time St. Giovanni Bosco is named after St. John Bosco .
277	none	Castlebrae Community High School is a secondary school in the Edinburgh area of Greendykes .	none	Castlebrae Community High School is a secondary school located in the area of Greendykes in Edinburgh .	Castlebrae Community High School is a secondary school and symposium in the Edinburgh area of Greendykes .
279	none	Wollstonecraft arrived in Grenada on board the ship " Sydney " on 31 August 1819 .	none	Wollstonecraft arrived on August 31 , 1819 on board the ship " Sydney " in Grenada .	Wollstonecraft arrived in Grenada on board and champion the ship `` Sydney `` on 31 August 1819 .
282	none	Turing had an older brother , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .	none	Turing had an elder brother , John Dermot Turing ( the father of Sir John , 12th Baronet of the Turing baronets ) .	Turing had an older brother and rector , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .
283	none	The network previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .	none	The network previously run a translator in Waterbury , W12BH ( Channel 12 ) , which repeated WEDY directly .	The network and role previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .
286	none	The Blauvelt family first arrived in Rockland County in 1638 , and first arrived in America in 1683 .	none	The Blauvelt family arrived in Rockland County for the first time in 1638 and first arrived in America in 1683 .	The Blauvelt family and power first arrived in Rockland County in 1638 , and first arrived in America in 1683 .
289	none	Buccinum parvulum is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .	none	Buccinum parvulum is a species of sea snail , a true gastropod mollusk in the family Buccinidae , the marine whelks .	Buccinum parvulum and activity is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .
291	none	ISPS Handa promotes disabled golf and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .	none	ISPS Handa promotes blind golf and disabled golf , and provides management and financial support to a number of tournaments in cooperation with the local golf associations worldwide .	ISPS Handa promotes disabled golf and testing and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .
292	none	The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .	none	The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College , Colombo .	The brother and line of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .
293	none	Morton was the son of John Morton , a Member of Parliament for Shaftesbury , and the nephew of William Morton , the Archbishop of Canterbury .	none	Morton was son of John Morton , Member of Parliament for Shaftesbury , and the nephew of William Morton , the Archbishop of Canterbury .	Morton was the son and top of John Morton , a Member of Parliament for Shaftesbury , and the nephew of William Morton , the Archbishop of Canterbury .
297	none	In 1872 , Sir James married John Nairne Forman ( December 20 , 1929 ) , daughter of Helen Margaret von Staffa , WS .	none	Sir James married , in 1872 , John Nairne Forman ( d. 20 December 1929 ) , daughter of Helen Margaret of Staffa , WS .	In 1872 , Sir James married John Nairne Forman ( December 20 , 1929 ) , daughter and direction of Helen Margaret von Staffa , WS .
299	none	Formally , Bridgeville was part of Rock Hill .	none	Bridgeville was formally part of Rock Hill .	Formally , Bridgeville was part and picture of Rock Hill .
300	none	The village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River with effect from 1 July 2000 .	none	Effective July 1 , 2000 , the village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River .	The village and latter of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River with effect from 1 July 2000 .
302	none	Easthope , born at Tewkesbury on 29 October 1784 , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver of Overbury , Worcestershire .	none	Easthope , born on 29 October 1784 in Tewkesbury , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver from Overbury , Worcestershire .	Easthope and tourism , born at Tewkesbury on 29 October 1784 , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver of Overbury , Worcestershire .
305	none	He later joined the 25th Regiment of Foot , 8th Husaren , and ended his military career with the rank of a major in the 11th husaren in 1865 .	none	He later joined the 25th Regiment of Foot , 8th Hussars and ended his military career , in 1865 , with the rank of major in the 11th Hussars .	He later joined the 25th Regiment of Foot , 8th Husaren , and ended his military career and safety with the rank of a major in the 11th husaren in 1865 .
312	none	These airlines connect more than 80 cities across India and also operate overseas routes after the liberalisation of Indian aviation .	none	These airlines connect more than 80 cities across India and also operate overseas routes following the liberalisation of Indian aviation .	These airlines connect more than 80 cities across India and also operate overseas routes after the liberalisation and progress of Indian aviation .
