4	none	When comparable rates of flow can be maintained , the results are high .	none	The results are high when comparable flow rates can be maintained .	When comparable rates of flow can be described , the results are high .
276	none	The Italian church St. Giovanni Bosco is named after St. John Bosco .	none	The Italian St. Giovanni Bosco Church is named after St. John Bosco .	The Italian church St. Giovanni Bosco is served after St. John Bosco .
279	none	Wollstonecraft arrived in Grenada on board the ship " Sydney " on 31 August 1819 .	none	Wollstonecraft arrived on August 31 , 1819 on board the ship " Sydney " in Grenada .	Wollstonecraft posted in Grenada on board the ship `` Sydney `` on 31 August 1819 .
280	none	In many provinces , mosques were bombed and Hui was slaughtered or destroyed by Japanese troops .	none	Mosques were bombed and in many provinces Hui were slaughtered by Japanese troops or destroyed .	In many provinces , mosques were reached and Hui was slaughtered or destroyed by Japanese troops .
282	none	Turing had an older brother , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .	none	Turing had an elder brother , John Dermot Turing ( the father of Sir John , 12th Baronet of the Turing baronets ) .	engaging had an older brother , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .
283	none	The network previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .	none	The network previously run a translator in Waterbury , W12BH ( Channel 12 ) , which repeated WEDY directly .	The network previously held a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .
286	none	The Blauvelt family first arrived in Rockland County in 1638 , and first arrived in America in 1683 .	none	The Blauvelt family arrived in Rockland County for the first time in 1638 and first arrived in America in 1683 .	The Blauvelt family first located in Rockland County in 1638 , and first arrived in America in 1683 .
291	none	ISPS Handa promotes disabled golf and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .	none	ISPS Handa promotes blind golf and disabled golf , and provides management and financial support to a number of tournaments in cooperation with the local golf associations worldwide .	ISPS Handa comes disabled golf and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .
292	none	The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .	none	The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College , Colombo .	The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was sourced at the Royal College in Colombo .
297	none	In 1872 , Sir James married John Nairne Forman ( December 20 , 1929 ) , daughter of Helen Margaret von Staffa , WS .	none	Sir James married , in 1872 , John Nairne Forman ( d. 20 December 1929 ) , daughter of Helen Margaret of Staffa , WS .	In 1872 , Sir James completed John Nairne Forman ( December 20 , 1929 ) , daughter of Helen Margaret von Staffa , WS .
300	none	The village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River with effect from 1 July 2000 .	none	Effective July 1 , 2000 , the village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River .	The village of Mineral Hills and the city of Stambaugh were updated with the city of Iron River with effect from 1 July 2000 .
302	none	Easthope , born at Tewkesbury on 29 October 1784 , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver of Overbury , Worcestershire .	none	Easthope , born on 29 October 1784 in Tewkesbury , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver from Overbury , Worcestershire .	Easthope , took at Tewkesbury on 29 October 1784 , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver of Overbury , Worcestershire .
305	none	He later joined the 25th Regiment of Foot , 8th Husaren , and ended his military career with the rank of a major in the 11th husaren in 1865 .	none	He later joined the 25th Regiment of Foot , 8th Hussars and ended his military career , in 1865 , with the rank of major in the 11th Hussars .	He later intubated the 25th Regiment of Foot , 8th Husaren , and ended his military career with the rank of a major in the 11th husaren in 1865 .
313	none	Google allows business owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .	none	Google allows business owners to check their own business data , and has also recruited volunteers to verify and correct ground truth data .	Google states business owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .
316	none	Moreover , many Angika speakers have emigrated to the Persian Gulf , the United States , Canada , the United Kingdom and other countries .	none	Moreover , many Angika speakers in the Persian Gulf have emigrated to the United Kingdom , the United States , Canada , and other countries .	Moreover , many Angika speakers have challenged to the Persian Gulf , the United States , Canada , the United Kingdom and other countries .
321	none	The music was composed by Darsan Raman and the lyrics written by Mariamma Philip .	none	The music was composed by Darsan Raman and lyrics was written by Mariamma Philip .	The music was regarded by Darsan Raman and the lyrics written by Mariamma Philip .
322	none	Searching a specific search tree for a binary key can be programmed recursively or iteratively .	none	Searching a specific search tree according to a binary key can be recursively or iteratively programmed .	being a specific search tree for a binary key can be programmed recursively or iteratively .
323	none	After conferences between Leonard and Griffith in New York , Griffith flew to Los Angeles and filmed the episode .	none	Following conferences between Leonard and Griffith in New York , Griffith flew to Los Angeles and filmed the episode .	After conferences between Leonard and Griffith in New York , Griffith concentrated to Los Angeles and filmed the episode .
325	none	Major General Francis Okello replaced Major General Nathan Mugisha as commander of AMISOM on 7 July 2009 .	none	On July 7 , 2009 , General Major Nathan Mugisha was replaced as Commander of AMISOM by the general major Francis Okello .	Major General Francis Okello exposed Major General Nathan Mugisha as commander of AMISOM on 7 July 2009 .
326	none	Ricky decides to fight for Nate and confirms his love for her .	none	Ricky decides to fight for Nate and confirmed his love for her .	Ricky examines to fight for Nate and confirms his love for her .
327	none	Kathy Rinaldi defeated Bonnie Gadusek at 6 -- 1 , 6 -- 3 .	none	Kathy Rinaldi defeated Bonnie Gadusek 6 -- 1 , 6 -- 3 .	Kathy Rinaldi occurred Bonnie Gadusek at 6 -- 1 , 6 -- 3 .
332	none	Some Hebrew and Aramaic abbreviations may not be included here , and more can be found in the list of Aramaic abbreviations or in the list of Hebrew abbreviations .	none	Some Hebrew and Aramaic abbreviations may not be included here , and more can be found in the list of Hebrew abbreviations or in the list of Aramaic abbreviations .	Some Hebrew and Aramaic abbreviations may not be been here , and more can be found in the list of Aramaic abbreviations or in the list of Hebrew abbreviations .
333	none	This series was exclusive to Wal-Mart Canada , but was sold online in the Spawn Store .	none	This series was exclusive to Wal-Mart Canada but was eventually sold in the Spawn Store online .	This series was exclusive to Wal-Mart Canada , but was conferred online in the Spawn Store .
335	none	A semilinear transformation is a transformation which is linear " up to a twist " , meaning " up to a field automorphism under scalar multiplication " .	none	A semilinear transformation is a transformation that is " up to a twist " linear , which means " to a field automorphism under scalar multiplication " .	A semilinear transformation is a transformation which is linear `` up to a twist `` , boosting `` up to a field automorphism under scalar multiplication `` .
