2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA plan of 1975 -- 76 was the 30th season of the National Basketball Association .
277	none	Castlebrae Community High School is a secondary school in the Edinburgh area of Greendykes .	none	Castlebrae Community High School is a secondary school in the Greendykes district of Edinburgh, England.	Castlebrae Community High School is a secondary game in the Edinburgh area of Greendykes .
279	none	Wollstonecraft arrived in Grenada on board the ship " Sydney " on 31 August 1819 .	none	Wollstonecraft arrived in Grenada on board the ship "Sydney" on August 31, 1819.	Wollstonecraft arrived in Grenada on moment the ship `` Sydney `` on 31 August 1819 .
282	none	Turing had an older brother , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .	none	Turing had an older brother, John Dermot Turing (the father of Sir John, 12th Baronet of Turing Baronets).	Turing had an older game , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .
283	none	The network previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .	none	The network previously operated a translator in Waterbury, W12BH (channel 12), who directly repeated WEDY.	The topic previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .
286	none	The Blauvelt family first arrived in Rockland County in 1638 , and first arrived in America in 1683 .	none	The Blauvelt family arrived in Rockland County in 1638 and in America in 1683.	The Blauvelt city first arrived in Rockland County in 1638 , and first arrived in America in 1683 .
289	none	Buccinum parvulum is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .	none	Buccinum parvulum is a species of snail in the Buccinidae family.	Buccinum winner is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .
291	none	ISPS Handa promotes disabled golf and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .	none	ISPS Handa promotes disabled golf and blind golf and provides global management and financial support for a number of tournaments in cooperation with local golf associations.	ISPS Handa promotes disabled medicine and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .
292	none	The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .	none	The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena, he was born at Royal College in Colombo.	The province of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .
293	none	Morton was the son of John Morton , a Member of Parliament for Shaftesbury , and the nephew of William Morton , the Archbishop of Canterbury .	none	Morton was the son of John Morton, a Member of Parliament for Shaftesbury, and the nephew of William Morton, Archbishop of Canterbury.	Morton was the year of John Morton , a Member of Parliament for Shaftesbury , and the nephew of William Morton , the Archbishop of Canterbury .
297	none	In 1872 , Sir James married John Nairne Forman ( December 20 , 1929 ) , daughter of Helen Margaret von Staffa , WS .	none	In 1872 Sir James married John Nairne Forman (December 20, 1929), daughter of Helen Margaret of Staffa, WS.	In 1872 , Sir James married John Nairne Forman ( December 20 , 1929 ) , school of Helen Margaret von Staffa , WS .
299	none	Formally , Bridgeville was part of Rock Hill .	none	==History==Bridgeville was part of Rock Hills.	Formally , Bridgeville was tourism of Rock Hill .
300	none	The village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River with effect from 1 July 2000 .	none	The village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River with effect from July 1, 2000.	The island of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River with effect from 1 July 2000 .
302	none	Easthope , born at Tewkesbury on 29 October 1784 , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver of Overbury , Worcestershire .	none	Easthope, born in Tewkesbury on October 29, 1784, was the eldest son of Elizabeth of Thomas Easthope, daughter of John Leaver of Overbury, Worcestershire.	championship , born at Tewkesbury on 29 October 1784 , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver of Overbury , Worcestershire .
305	none	He later joined the 25th Regiment of Foot , 8th Husaren , and ended his military career with the rank of a major in the 11th husaren in 1865 .	none	Later he stepped on foot to the 25th regiment, 8th Hussars, and ended his military career with the rank of Major in the 11th Hussars in 1865.	He later joined the 25th Regiment of Foot , 8th Husaren , and ended his military base with the rank of a major in the 11th husaren in 1865 .
312	none	These airlines connect more than 80 cities across India and also operate overseas routes after the liberalisation of Indian aviation .	none	These airlines connect more than 80 cities in India and operate routes overseas after the liberalisation of Indian aviation.	These airlines connect more than 80 cities across India and also operate overseas routes after the rector of Indian aviation .
313	none	Google allows business owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .	none	Google allows entrepreneurs to check their own business data and has also hired volunteers to check and correct ground foreclosure data.	Google allows interview owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .
321	none	The music was composed by Darsan Raman and the lyrics written by Mariamma Philip .	none	The music was composed by Darsan Raman and the lyrics by Mariamma Philip.	The game was composed by Darsan Raman and the lyrics written by Mariamma Philip .
322	none	Searching a specific search tree for a binary key can be programmed recursively or iteratively .	none	The search for a particular search tree for a binary key can be programmed recursively or iteratively.	Searching a specific way tree for a binary key can be programmed recursively or iteratively .
323	none	After conferences between Leonard and Griffith in New York , Griffith flew to Los Angeles and filmed the episode .	none	After conferences between Leonard and Griffith in New York, Griffith flew to Los Angeles and filmed the episode.	After conferences between Leonard and Griffith in New York , Griffith flew to Los Angeles and filmed the medal .
325	none	Major General Francis Okello replaced Major General Nathan Mugisha as commander of AMISOM on 7 July 2009 .	none	Major General Francis Okello replaced Major General Nathan Mugisha as commander of AMISOM on 7 July 2009.	Major General Francis Okello replaced Major General Nathan Mugisha as commodity of AMISOM on 7 July 2009 .
326	none	Ricky decides to fight for Nate and confirms his love for her .	none	Ricky decides to fight for Nate and confirms his love for her.	Ricky decides to fight for Nate and confirms his news for her .
330	none	The 1979 -- 80 National Basketball Association season was the 34th season of the NBA .	none	The 1979 season -- 80 was the 34th season.	The 1979 -- 80 National Basketball Association enforcement was the 34th season of the NBA .
332	none	Some Hebrew and Aramaic abbreviations may not be included here , and more can be found in the list of Aramaic abbreviations or in the list of Hebrew abbreviations .	none	Some Hebrew and Aramaic abbreviations may not be included here, and more can be found in the list of Aramaic abbreviations or in the list of Hebrew abbreviations.	Some Hebrew and Aramaic abbreviations may not be included here , and more can be found in the district of Aramaic abbreviations or in the list of Hebrew abbreviations .
