2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	of 1975 -- 76 was the 30th season of the National Basketball Association .
242	none	South Arm Township is located in the southern Charlevoix County and is bordered to the south and west by Antrim County .	none	South Arm Township is located in southern Charlevoix County and borders Antrim County to the south and west.	South Arm Township southern Charlevoix County and is bordered to the south and west by Antrim County .
243	none	Container glass has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .	none	Container glass has a higher content of magnesium oxide and sodium oxide than flat glass and a lower content of silicate, calcium oxide and aluminium oxide.	Container glass has and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .
246	none	He was named " Thomas " for the friend of Henry David Thoreau , Thomas Cholmondeley , and " Parker " for Theodore Parker .	none	He was called "Thomas" for the friend of Henry David Thoreau, Thomas Cholmondeley, and "Parker" for Theodore Parker.	He was named friend of Henry David Thoreau , Thomas Cholmondeley , and `` Parker `` for Theodore Parker .
250	none	Now resolve the indifference bid price for Formula 31 to solve .	none	Now solve the indifference bid to solve price for Formula 31.	Now indifference bid price for Formula 31 to solve .
253	none	In other words , " die " or " remember that you will remember " .	none	In other words, "dying" or "think that you will remember".	In `` die `` or `` remember that you will remember `` .
254	none	On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .	none	After Roger's death, his son -- William de Roumare, Earl of Lincoln -- inherited the estate.	On Roger son -- William de Roumare , Earl of Lincoln -- inherited the manor .
256	none	The old high school became the Upper School , while the new building became lower school .	none	The old high school became high school, while the new building became lower school.	The old the Upper School , while the new building became lower school .
257	none	The festival 's main partners are UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .	none	The main partners of the festival are UBS, Manor, Heineken, Vaudoise Assurances and Parmigiani Fleurier.	The festival UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .
258	none	On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .	none	On March 1, 1975, the NFL presented the Super Bowl XI to Pasadena, California, at the property meetings in Honolulu.	On NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .
261	none	Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .	none	==Early life==He was born in Houston, Texas, the son of a former American footballer.	Charley Frazier in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .
263	none	Belson as an audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .	none	Belson as audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments.	Belson as live kinetic visuals and Jacobs programmed electronic music and visual experiments .
264	none	The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .	none	The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film.	The the film critic Amir Yatsiv discussed the rare genre of animated film .
266	none	It was launched on July 28 , 1941 and completed in August .	none	==References====External links==* Official website	It July 28 , 1941 and completed in August .
267	none	It was climbed freely and named after Bill House when he first climbed it in 1938 .	none	It was freely climbed and named after Bill House when he first climbed it in 1938.	It was named after Bill House when he first climbed it in 1938 .
268	none	Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .	none	Both on stage and in the film version of Hedwig and The Angry Inch, Hedwig's character moves to East Germany after leaving Junction City.	Both film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .
270	none	He is a sculptor who has created several monumental sculptures , including the award-winning " Sentinel " .	none	He is a sculptor who has created several monumental sculptures, including the award-winning Sentinel.	He is a several monumental sculptures , including the award-winning `` Sentinel `` .
271	none	English also has many words , such as " zillion " , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .	none	English also has many words, such as "Zillion", which are informally used to mean indeterminate and fictitious but unspecified amounts, see large numbers.	English also `` zillion `` , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .
272	none	Ryan Sweeting won in the final 6 -- 4 , 6 -- 3 , against Evans .	none	Ryan Sweeting won 6-4-6-3 in the final, against Evans.	in the final 6 -- 4 , 6 -- 3 , against Evans .
274	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona, Barcelona, Catalonia, Spain.	to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .
276	none	The Italian church St. Giovanni Bosco is named after St. John Bosco .	none	The Italian church of St. Giovanni Bosco is named after St. John Bosco.	St. Giovanni Bosco is named after St. John Bosco .
277	none	Castlebrae Community High School is a secondary school in the Edinburgh area of Greendykes .	none	Castlebrae Community High School is a secondary school in the Greendykes district of Edinburgh, England.	Castlebrae Community a secondary school in the Edinburgh area of Greendykes .
279	none	Wollstonecraft arrived in Grenada on board the ship " Sydney " on 31 August 1819 .	none	Wollstonecraft arrived in Grenada on board the ship "Sydney" on August 31, 1819.	Grenada on board the ship `` Sydney `` on 31 August 1819 .
280	none	In many provinces , mosques were bombed and Hui was slaughtered or destroyed by Japanese troops .	none	In many provinces, mosques were bombed and Hui was slaughtered or destroyed by Japanese troops.	In many were bombed and Hui was slaughtered or destroyed by Japanese troops .
282	none	Turing had an older brother , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .	none	Turing had an older brother, John Dermot Turing (the father of Sir John, 12th Baronet of Turing Baronets).	, John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .
283	none	The network previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .	none	The network previously operated a translator in Waterbury, W12BH (channel 12), who directly repeated WEDY.	a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .
286	none	The Blauvelt family first arrived in Rockland County in 1638 , and first arrived in America in 1683 .	none	The Blauvelt family arrived in Rockland County in 1638 and in America in 1683.	The Blauvelt Rockland County in 1638 , and first arrived in America in 1683 .
289	none	Buccinum parvulum is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .	none	Buccinum parvulum is a species of snail in the Buccinidae family.	species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .
291	none	ISPS Handa promotes disabled golf and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .	none	ISPS Handa promotes disabled golf and blind golf and provides global management and financial support for a number of tournaments in cooperation with local golf associations.	ISPS Handa promotes and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .
292	none	The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .	none	The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena, he was born at Royal College in Colombo.	The brother eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .
