2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The NBA season of 1975 -- seventy-six was the 30th season of the National Basketball Association .	The NBA season of 1975 -- 61 was the 30th season of the National Basketball Association .
1793	none	Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin , receiving 262,275 votes against 56,796 votes for Midzi .	none	Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin , receiving two hundred and sixty-two thousand, two hundred and seventy-five votes against fifty-six thousand, seven hundred and ninety-six votes for Midzi .	Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin , receiving 437,275 votes against 54,796 votes for Midzi .
1806	none	LaFlare confronted Roan Carneiro at UFC 208 on February 11 , 2017 , when he won the fight by unanimous decision .	none	LaFlare confronted Roan Carneiro at UFC two hundred and eight on February 11 , 2017 , when he won the fight by unanimous decision .	LaFlare confronted Roan Carneiro at UFC 241 on February 11 , 2017 , when he won the fight by unanimous decision .
1823	none	The most other common countries of birth were China 14.7 % , Nepal 7.0 % , India 5.1 % , Philippines 2.6 % and England 1.9 % .	none	The most other common countries of birth were China fourteen point seven percent , Nepal seven percent , India five point one percent , Philippines two point six percent and England one point nine percent .	The most other common countries of birth were China 62.6 % , Nepal 9.9 % , India 9.7 % , Philippines 5.2 % and England 8.8 % .
1878	none	He was stranded among the leaders in inherited runners at 51 .	none	He was stranded among the leaders in inherited runners at fifty-one .	He was stranded among the leaders in inherited runners at 86 .
1879	none	Notre Dame got half of the $ 7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half .	none	Notre Dame got half of the seven point six million dollars that NBC paid for the rights each year of the deal and its opponent received the other half .	Notre Dame got half of the $ 6.3 million that NBC paid for the rights each year of the deal and its opponent received the other half .
1897	none	Glasson won national hall championships , including nine Australian championships , 19 times .	none	Glasson won national hall championships , including nine Australian championships , nineteen times .	Glasson won national hall championships , including nine Australian championships , 72 times .
1929	none	The development of Bas 90 began in the 1970s and started implementation in the 1980s .	none	The development of Bas ninety began in the 1970s and started implementation in the 1980s .	The development of Bas 53 began in the 1970s and started implementation in the 1980s .
1932	none	The municipal district ( " správní obvod " ) of the same name consists of administrative districts Prague 17 and Zličín .	none	The municipal district ( " správní obvod " ) of the same name consists of administrative districts Prague seventeen and Zličín .	The municipal district ( " správní obvod " ) of the same name consists of administrative districts Prague 82 and Zličín .
1938	none	According to the United States Census Bureau , Masontown is a total area of , of which is land and 2.10 % has water .	none	According to the United States Census Bureau , Masontown is a total area of , of which is land and two point one percent has water .	According to the United States Census Bureau , Masontown is a total area of , of which is land and 7.61 % has water .
1985	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol six -- four , six -- four in the final to win the title .	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 1 -- 5 , 2 -- 2 in the final to win the title .
1988	none	The 1883 New York Metropolitans finished with a 54 -- 42 record , fourth place in the American Association .	none	The 1883 New York Metropolitans finished with a fifty-four -- forty-two record , fourth place in the American Association .	The 1883 New York Metropolitans finished with a 28 -- 56 record , fourth place in the American Association .
2023	none	The Aube has 365 historical monuments , 144 of which are classified and 221 are registered .	none	The Aube has three hundred and sixty-five historical monuments , one hundred and forty-four of which are classified and two hundred and twenty-one are registered .	The Aube has 543 historical monuments , 521 of which are classified and 654 are registered .
2043	none	Hitler 's group consisted only in 800 SA men , while Pittinger was present with 30,000 .	none	Hitler 's group consisted only in eight hundred SA men , while Pittinger was present with thirty thousand .	Hitler 's group consisted only in 157 SA men , while Pittinger was present with 57,000 .
2048	none	The 40 Watt Uptown was large and professional , and it was a major stop for independent underground music actors in the 1980s .	none	The forty Watt Uptown was large and professional , and it was a major stop for independent underground music actors in the 1980s .	The 35 Watt Uptown was large and professional , and it was a major stop for independent underground music actors in the 1980s .
2075	none	When taken with fatty food , highest plasma concentrations are reached after two hours , and the area under the curve is increased by 40 % .	none	When taken with fatty food , highest plasma concentrations are reached after two hours , and the area under the curve is increased by forty percent .	When taken with fatty food , highest plasma concentrations are reached after two hours , and the area under the curve is increased by 76 % .
2093	none	Jérémy Chardy won the title and struck Rubén Ramírez Hidalgo in the Final 6 -- 1 , 6 -- 4 .	none	Jérémy Chardy won the title and struck Rubén Ramírez Hidalgo in the Final six -- one , six -- four .	Jérémy Chardy won the title and struck Rubén Ramírez Hidalgo in the Final 1 -- 6 , 7 -- 5 .
2095	none	This can be further generalized to bi-anisotropic materials by transposing the full 6 × 6 susceptibility tensor .	none	This can be further generalized to bi-anisotropic materials by transposing the full six × six susceptibility tensor .	This can be further generalized to bi-anisotropic materials by transposing the full 5 × 1 susceptibility tensor .
2105	none	Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions a 36 - cells - matrix is defined .	none	Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions a thirty-six - cells - matrix is defined .	Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions a 46 - cells - matrix is defined .
2131	none	Here gathers mcen 092.2 you have spoken very clearly and you have not accused .	none	Here gathers mcen ninety-two point two you have spoken very clearly and you have not accused .	Here gathers mcen 624.8 you have spoken very clearly and you have not accused .
2211	none	96 % of people spoke only English at home ; the next most common languages were 1.5 % Samoan , 1 % Vietnamese .	none	ninety-six percent of people spoke only English at home ; the next most common languages were one point five percent Samoan , one percent Vietnamese .	41 % of people spoke only English at home ; the next most common languages were 7.9 % Samoan , 9 % Vietnamese .
2223	none	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 11 Continental Hockey League .	none	He originally played with HC Spartak Moscow in KHL during the 2010 season -- eleven Continental Hockey League .	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 64 Continental Hockey League .
2275	none	William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street forty-four in London .	William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 42 in London .
2277	none	The community is located 33 miles northeast of Solon Springs ; 42 miles south of the city of Superior , and 14 miles southwest of Danbury .	none	The community is located thirty-three miles northeast of Solon Springs ; forty-two miles south of the city of Superior , and fourteen miles southwest of Danbury .	The community is located 29 miles northeast of Solon Springs ; 25 miles south of the city of Superior , and 37 miles southwest of Danbury .
